commit,date,method,throughput,us_per_step,avg_accept_len
670bd53,2026-05-07T13:22:12,Transformer AR,1188606,0.84,1.00
670bd53,2026-05-07T13:22:12,DFlash,3912133,2.04,8.00
670bd53,2026-05-07T13:22:12,DDTree Build,342691,2.92,0.00
670bd53,2026-05-07T13:22:12,Speculative (Simulated),978309,5.11,5.00
670bd53,2026-05-07T13:22:12,Speculative (AR Draft),1418294,4.93,7.00
670bd53,2026-05-07T13:22:12,Prefill (no compress),19394591,3.30,64.00
670bd53,2026-05-07T13:22:12,Prefill (compressed),1965667,3.56,7.00
670bd53,2026-05-07T13:22:12,DDTree (no chain),343443,2.91,16.00
670bd53,2026-05-07T13:22:12,DDTree (chain-seed),364703,2.74,16.00
670bd53,2026-05-07T13:22:12,forward (flat),1168203,0.86,0.00
670bd53,2026-05-07T13:22:12,forward_paged,967083,1.03,0.00
