commit,date,method,throughput,us_per_step,avg_accept_len
670bd53,2026-05-07T13:25:58,Transformer AR,1126607,0.89,1.00
670bd53,2026-05-07T13:25:58,DFlash,4188010,1.91,8.00
670bd53,2026-05-07T13:25:58,DDTree Build,371507,2.69,0.00
670bd53,2026-05-07T13:25:58,Speculative (Simulated),1047719,4.77,5.00
670bd53,2026-05-07T13:25:58,Speculative (AR Draft),1497948,4.67,7.00
670bd53,2026-05-07T13:25:58,Prefill (no compress),19540513,3.28,64.00
670bd53,2026-05-07T13:25:58,Prefill (compressed),1986124,3.52,7.00
670bd53,2026-05-07T13:25:58,DDTree (no chain),372792,2.68,16.00
670bd53,2026-05-07T13:25:58,DDTree (chain-seed),384577,2.60,16.00
670bd53,2026-05-07T13:25:58,forward (flat),1163883,0.86,0.00
670bd53,2026-05-07T13:25:58,forward_paged,976975,1.02,0.00
