commit,date,method,throughput,us_per_step,avg_accept_len
670bd53,2026-05-07T13:22:53,Transformer AR,1185845,0.84,1.00
670bd53,2026-05-07T13:22:53,DFlash,3887291,2.06,8.00
670bd53,2026-05-07T13:22:53,DDTree Build,342746,2.92,0.00
670bd53,2026-05-07T13:22:53,Speculative (Simulated),983434,5.08,5.00
670bd53,2026-05-07T13:22:53,Speculative (AR Draft),1403926,4.98,7.00
670bd53,2026-05-07T13:22:53,Prefill (no compress),19402401,3.30,64.00
670bd53,2026-05-07T13:22:53,Prefill (compressed),1953789,3.58,7.00
670bd53,2026-05-07T13:22:53,DDTree (no chain),340507,2.94,16.00
670bd53,2026-05-07T13:22:53,DDTree (chain-seed),359272,2.78,16.00
670bd53,2026-05-07T13:22:53,forward (flat),1177950,0.85,0.00
670bd53,2026-05-07T13:22:53,forward_paged,948359,1.05,0.00
