commit,date,method,throughput,us_per_step,avg_accept_len
5417640,2026-05-09T21:22:00,Transformer AR,1169953,0.85,1.00
5417640,2026-05-09T21:22:00,DFlash,4145604,1.93,8.00
5417640,2026-05-09T21:22:00,DDTree Build,419709,2.38,0.00
5417640,2026-05-09T21:22:00,Speculative (Simulated),1132565,4.41,5.00
5417640,2026-05-09T21:22:00,Speculative (AR Draft),1607811,4.35,7.00
5417640,2026-05-09T21:22:00,Leviathan (Algorithm 1),113133,10.42,1.18
5417640,2026-05-09T21:22:00,Leviathan (no rollback),112873,10.44,1.18
5417640,2026-05-09T21:22:00,Leviathan (w/ rollback),206110,5.70,1.18
5417640,2026-05-09T21:22:00,Spec (unconditioned),1105013,4.52,5.00
5417640,2026-05-09T21:22:00,Spec (conditioned),1208423,5.58,6.74
5417640,2026-05-09T21:22:00,Prefill (no compress),17116060,3.74,64.00
5417640,2026-05-09T21:22:00,Prefill (compressed),1735952,4.03,7.00
5417640,2026-05-09T21:22:00,DDTree (no chain),423401,2.36,16.00
5417640,2026-05-09T21:22:00,DDTree (chain-seed),438826,2.28,16.00
5417640,2026-05-09T21:22:00,DDTree (screened R=1.0),334591,2.99,16.00
5417640,2026-05-09T21:22:00,DDTree (screened adapter),334717,2.99,16.00
5417640,2026-05-09T21:22:00,forward (flat),1167599,0.86,0.00
5417640,2026-05-09T21:22:00,forward_paged,966451,1.03,0.00
5417640,2026-05-09T21:22:00,forward_raven (16 slots),1456919,0.69,0.00
5417640,2026-05-09T21:22:00,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9954310,0.10,63.21
