commit,date,method,throughput,us_per_step,avg_accept_len
670bd53,2026-05-07T13:22:48,Transformer AR,1184618,0.84,1.00
670bd53,2026-05-07T13:22:48,DFlash,3884870,2.06,8.00
670bd53,2026-05-07T13:22:48,DDTree Build,342882,2.92,0.00
670bd53,2026-05-07T13:22:48,Speculative (Simulated),980932,5.10,5.00
670bd53,2026-05-07T13:22:48,Speculative (AR Draft),1420713,4.92,7.00
670bd53,2026-05-07T13:22:48,Prefill (no compress),19181940,3.34,64.00
670bd53,2026-05-07T13:22:48,Prefill (compressed),1946074,3.60,7.00
670bd53,2026-05-07T13:22:48,DDTree (no chain),344364,2.90,16.00
670bd53,2026-05-07T13:22:48,DDTree (chain-seed),364963,2.74,16.00
670bd53,2026-05-07T13:22:48,forward (flat),1174635,0.85,0.00
670bd53,2026-05-07T13:22:48,forward_paged,1002716,1.00,0.00
