commit,date,method,throughput,us_per_step,avg_accept_len
7c56369,2026-05-13T16:10:10,Transformer AR,1156959,0.86,1.00
7c56369,2026-05-13T16:10:10,DFlash,495800,2.02,8.00
7c56369,2026-05-13T16:10:10,DDTree Build,359310,2.78,0.00
7c56369,2026-05-13T16:10:10,Speculative (Simulated),1020587,4.90,5.00
7c56369,2026-05-13T16:10:10,Speculative (AR Draft),1440348,4.86,7.00
7c56369,2026-05-13T16:10:10,Leviathan (Algorithm 1),110671,10.65,1.18
7c56369,2026-05-13T16:10:10,Leviathan (no rollback),110882,10.63,1.18
7c56369,2026-05-13T16:10:10,Leviathan (w/ rollback),187898,6.25,1.18
7c56369,2026-05-13T16:10:10,Spec (unconditioned),1019548,4.90,5.00
7c56369,2026-05-13T16:10:10,Spec (conditioned),1090367,6.19,6.74
7c56369,2026-05-13T16:10:10,Prefill (no compress),294411,3.40,64.00
7c56369,2026-05-13T16:10:10,Prefill (compressed),274696,3.64,7.00
7c56369,2026-05-13T16:10:10,DDTree (no chain),355677,2.81,16.00
7c56369,2026-05-13T16:10:10,DDTree (chain-seed),376169,2.66,16.00
7c56369,2026-05-13T16:10:10,DDTree (screened R=1.0),287415,3.48,16.00
7c56369,2026-05-13T16:10:10,DDTree (screened adapter),290796,3.44,16.00
7c56369,2026-05-13T16:10:10,forward (flat),1125638,0.89,0.00
7c56369,2026-05-13T16:10:10,forward_paged,993866,1.01,0.00
7c56369,2026-05-13T16:10:10,forward_raven (16 slots),1668840,0.60,0.00
7c56369,2026-05-13T16:10:10,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9565533,0.10,63.21
7c56369,2026-05-13T16:10:10,TQ-3bit store+dequant,1388889,0.72,5.33
7c56369,2026-05-13T16:10:10,PFlash block_select (1024 blocks),1129644,0.89,0.00
