commit,date,method,throughput,us_per_step,avg_accept_len
0d52e11,2026-05-07T15:53:46,Transformer AR,1166677,0.86,1.00
0d52e11,2026-05-07T15:53:46,DFlash,3874466,2.06,8.00
0d52e11,2026-05-07T15:53:46,DDTree Build,367255,2.72,0.00
0d52e11,2026-05-07T15:53:46,Speculative (Simulated),1002297,4.99,5.00
0d52e11,2026-05-07T15:53:46,Speculative (AR Draft),1462660,4.78,7.00
0d52e11,2026-05-07T15:53:46,Leviathan (Algorithm 1),111232,10.60,1.18
0d52e11,2026-05-07T15:53:46,Leviathan (no rollback),110674,10.65,1.18
0d52e11,2026-05-07T15:53:46,Leviathan (w/ rollback),185669,6.33,1.18
0d52e11,2026-05-07T15:53:46,Spec (unconditioned),1005407,4.97,5.00
0d52e11,2026-05-07T15:53:46,Spec (conditioned),1107696,6.09,6.74
0d52e11,2026-05-07T15:53:46,Prefill (no compress),19152846,3.34,64.00
0d52e11,2026-05-07T15:53:46,Prefill (compressed),1943432,3.60,7.00
0d52e11,2026-05-07T15:53:46,DDTree (no chain),365899,2.73,16.00
0d52e11,2026-05-07T15:53:46,DDTree (chain-seed),383360,2.61,16.00
0d52e11,2026-05-07T15:53:46,forward (flat),1140075,0.88,0.00
0d52e11,2026-05-07T15:53:46,forward_paged,972349,1.03,0.00
