commit,date,method,throughput,us_per_step,avg_accept_len
670bd53,2026-05-07T13:25:55,Transformer AR,1110311,0.90,1.00
670bd53,2026-05-07T13:25:55,DFlash,4128588,1.94,8.00
670bd53,2026-05-07T13:25:55,DDTree Build,369891,2.70,0.00
670bd53,2026-05-07T13:25:55,Speculative (Simulated),1053165,4.75,5.00
670bd53,2026-05-07T13:25:55,Speculative (AR Draft),1475879,4.74,7.00
670bd53,2026-05-07T13:25:55,Prefill (no compress),19560400,3.27,64.00
670bd53,2026-05-07T13:25:55,Prefill (compressed),1976489,3.54,7.00
670bd53,2026-05-07T13:25:55,DDTree (no chain),370508,2.70,16.00
670bd53,2026-05-07T13:25:55,DDTree (chain-seed),395670,2.53,16.00
670bd53,2026-05-07T13:25:55,forward (flat),1200375,0.83,0.00
670bd53,2026-05-07T13:25:55,forward_paged,1002925,1.00,0.00
