commit,date,method,throughput,us_per_step,avg_accept_len
670bd53,2026-05-07T13:25:53,Transformer AR,1068092,0.94,1.00
670bd53,2026-05-07T13:25:53,DFlash,4166220,1.92,8.00
670bd53,2026-05-07T13:25:53,DDTree Build,375597,2.66,0.00
670bd53,2026-05-07T13:25:53,Speculative (Simulated),1048281,4.77,5.00
670bd53,2026-05-07T13:25:53,Speculative (AR Draft),1494737,4.68,7.00
670bd53,2026-05-07T13:25:53,Prefill (no compress),19473555,3.29,64.00
670bd53,2026-05-07T13:25:53,Prefill (compressed),1965473,3.56,7.00
670bd53,2026-05-07T13:25:53,DDTree (no chain),372166,2.69,16.00
670bd53,2026-05-07T13:25:53,DDTree (chain-seed),392869,2.55,16.00
670bd53,2026-05-07T13:25:53,forward (flat),1132175,0.88,0.00
670bd53,2026-05-07T13:25:53,forward_paged,979992,1.02,0.00
