commit,date,method,throughput,us_per_step,avg_accept_len
5417640,2026-05-09T21:12:40,Transformer AR,1181778,0.85,1.00
5417640,2026-05-09T21:12:40,DFlash,4082018,1.96,8.00
5417640,2026-05-09T21:12:40,DDTree Build,370635,2.70,0.00
5417640,2026-05-09T21:12:40,Speculative (Simulated),1040395,4.81,5.00
5417640,2026-05-09T21:12:40,Speculative (AR Draft),1497148,4.67,7.00
5417640,2026-05-09T21:12:40,Leviathan (Algorithm 1),112634,10.47,1.18
5417640,2026-05-09T21:12:40,Leviathan (no rollback),113117,10.42,1.18
5417640,2026-05-09T21:12:40,Leviathan (w/ rollback),193385,6.08,1.18
5417640,2026-05-09T21:12:40,Spec (unconditioned),1056535,4.73,5.00
5417640,2026-05-09T21:12:40,Spec (conditioned),1139087,5.92,6.74
5417640,2026-05-09T21:12:40,Prefill (no compress),19430027,3.29,64.00
5417640,2026-05-09T21:12:40,Prefill (compressed),1955880,3.58,7.00
5417640,2026-05-09T21:12:40,DDTree (no chain),366466,2.73,16.00
5417640,2026-05-09T21:12:40,DDTree (chain-seed),390236,2.56,16.00
5417640,2026-05-09T21:12:40,DDTree (screened R=1.0),300717,3.33,16.00
5417640,2026-05-09T21:12:40,DDTree (screened adapter),302034,3.31,16.00
5417640,2026-05-09T21:12:40,forward (flat),1146748,0.87,0.00
5417640,2026-05-09T21:12:40,forward_paged,1023127,0.98,0.00
5417640,2026-05-09T21:12:40,forward_raven (16 slots),1558695,0.64,0.00
5417640,2026-05-09T21:12:40,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9856295,0.10,63.21
5417640,2026-05-09T21:12:40,PPoT Entropy (H calc),21790745,0.05,8.00
5417640,2026-05-09T21:12:40,PPoT Resample (basic),18530729,0.05,10.00
5417640,2026-05-09T21:12:40,PPoT Resample (diff-value),7022151,0.14,10.00
5417640,2026-05-09T21:12:40,PPoT Resample (digit),12123710,0.08,10.00
5417640,2026-05-09T21:12:40,PPoT Greedy Fallback,524310,1.91,1.00
5417640,2026-05-09T21:12:40,PPoT Rescue (Plan 026),397864,2.51,10.00
5417640,2026-05-09T21:12:40,PPoT Adaptive (Plan 027),237509,4.21,10.00
