commit,date,method,throughput,us_per_step,avg_accept_len
4a6b592,2026-05-09T11:36:53,Transformer AR,900464,1.11,1.00
4a6b592,2026-05-09T11:36:53,DFlash,4231267,1.89,8.00
4a6b592,2026-05-09T11:36:53,DDTree Build,430911,2.32,0.00
4a6b592,2026-05-09T11:36:53,Speculative (Simulated),1143669,4.37,5.00
4a6b592,2026-05-09T11:36:53,Speculative (AR Draft),1643545,4.26,7.00
4a6b592,2026-05-09T11:36:53,Leviathan (Algorithm 1),114387,10.31,1.18
4a6b592,2026-05-09T11:36:53,Leviathan (no rollback),114085,10.33,1.18
4a6b592,2026-05-09T11:36:53,Leviathan (w/ rollback),206605,5.69,1.18
4a6b592,2026-05-09T11:36:53,Spec (unconditioned),1145669,4.36,5.00
4a6b592,2026-05-09T11:36:53,Spec (conditioned),1157438,5.83,6.74
4a6b592,2026-05-09T11:36:53,Prefill (no compress),19425142,3.29,64.00
4a6b592,2026-05-09T11:36:53,Prefill (compressed),1962114,3.57,7.00
4a6b592,2026-05-09T11:36:53,DDTree (no chain),433000,2.31,16.00
4a6b592,2026-05-09T11:36:53,DDTree (chain-seed),447251,2.24,16.00
4a6b592,2026-05-09T11:36:53,DDTree (screened R=1.0),338390,2.96,16.00
4a6b592,2026-05-09T11:36:53,DDTree (screened adapter),340539,2.94,16.00
4a6b592,2026-05-09T11:36:53,forward (flat),1200263,0.83,0.00
4a6b592,2026-05-09T11:36:53,forward_paged,1008350,0.99,0.00
4a6b592,2026-05-09T11:36:53,forward_raven (16 slots),1617183,0.62,0.00
4a6b592,2026-05-09T11:36:53,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9252063,0.11,63.21
