run_date,commit,features,category,method,throughput,us_per_step,avg_accept_len,feature_dim
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,Leviathan (w/ rollback),178385,6.57,1.17,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,Spec (unconditioned),928915,5.38,5.00,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,Spec (conditioned),972065,6.93,6.74,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,MTP OFF (BPE),2976,336.05,1.00,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,MTP ON truncate/pad (BPE),2822,354.59,1.00,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,MTP OFF shared KV (small),8598,697.84,6.00,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,MTP ON shared KV (small),4759,717.64,3.42,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,DDTree (no chain),358919,2.79,16.00,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,DDTree (chain-seed),376802,2.65,16.00,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,DDTree (screened R=1.0),289352,3.46,16.00,SD
2026-05-27T11:48:55,900d8e3,sparse_mlp+domain_latent+ppot+bandit+g_zero+delta_mem+fft+bomber+bt_rank+spectral_quant+hybrid_oct_pq+elf_sde+cna_steering+deep_manifold+tes_loop+lattice_deduction+delta_routing+gdn2_attention+dash_attn+dreamer+lt2_looped+plasma_path+tf_loop,SD,DDTree (screened adapter),277404,3.60,16.00,SD
