commit,date,method,throughput,us_per_step,avg_accept_len
a45ef8a,2026-05-13T22:52:53,Transformer AR,879447,1.14,1.00
a45ef8a,2026-05-13T22:52:53,DFlash,517664,1.93,8.00
a45ef8a,2026-05-13T22:52:53,DDTree Build,369149,2.71,0.00
a45ef8a,2026-05-13T22:52:53,Speculative (Simulated),1047582,4.77,5.00
a45ef8a,2026-05-13T22:52:53,Speculative (AR Draft),1481971,4.72,7.00
a45ef8a,2026-05-13T22:52:53,Leviathan (Algorithm 1),116153,10.15,1.18
a45ef8a,2026-05-13T22:52:53,Leviathan (no rollback),116586,10.11,1.18
a45ef8a,2026-05-13T22:52:53,Leviathan (w/ rollback),191937,6.12,1.18
a45ef8a,2026-05-13T22:52:53,Spec (unconditioned),1050797,4.76,5.00
a45ef8a,2026-05-13T22:52:53,Spec (conditioned),1127772,5.98,6.74
a45ef8a,2026-05-13T22:52:53,Prefill (no compress),305758,3.27,64.00
a45ef8a,2026-05-13T22:52:53,Prefill (compressed),281667,3.55,7.00
a45ef8a,2026-05-13T22:52:53,DDTree (no chain),372537,2.68,16.00
a45ef8a,2026-05-13T22:52:53,DDTree (chain-seed),391839,2.55,16.00
a45ef8a,2026-05-13T22:52:53,DDTree (screened R=1.0),297874,3.36,16.00
a45ef8a,2026-05-13T22:52:53,DDTree (screened adapter),300616,3.33,16.00
a45ef8a,2026-05-13T22:52:53,forward (flat),1166925,0.86,0.00
a45ef8a,2026-05-13T22:52:53,forward_paged,1043308,0.96,0.00
a45ef8a,2026-05-13T22:52:53,forward_raven (16 slots),1749112,0.57,0.00
a45ef8a,2026-05-13T22:52:53,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),10118078,0.10,63.21
a45ef8a,2026-05-13T22:52:53,TQ-3bit store+dequant (alloc),1805529,0.55,5.33
a45ef8a,2026-05-13T22:52:53,TQ-3bit store+dequant (zero-alloc),2426540,0.41,5.33
a45ef8a,2026-05-13T22:52:53,PFlash block_select (1024 blocks),1222068,0.82,0.00
a45ef8a,2026-05-13T22:52:53,Hint-δ compute (64 tok),10148505,0.10,0.00
a45ef8a,2026-05-13T22:52:53,TemplateProposer,2885358,0.35,0.00
a45ef8a,2026-05-13T22:52:53,G-Zero Pipeline,2141289,0.47,0.00
a45ef8a,2026-05-13T22:52:53,Blind Spot Arms (absorb),19793788,0.05,0.00
a45ef8a,2026-05-13T22:52:53,Blind Spot Arms (bandit),19821606,0.05,0.00
a45ef8a,2026-05-13T22:52:53,Δ-Absorb relevance,532384978,0.00,0.00
a45ef8a,2026-05-13T22:52:53,Δ-Bandit relevance,176887210,0.01,0.00
