commit,date,method,throughput,us_per_step,avg_accept_len
670bd53,2026-05-07T13:22:50,Transformer AR,1168934,0.86,1.00
670bd53,2026-05-07T13:22:50,DFlash,3789079,2.11,8.00
670bd53,2026-05-07T13:22:50,DDTree Build,338438,2.95,0.00
670bd53,2026-05-07T13:22:50,Speculative (Simulated),969033,5.16,5.00
670bd53,2026-05-07T13:22:50,Speculative (AR Draft),1387143,5.04,7.00
670bd53,2026-05-07T13:22:50,Prefill (no compress),19112807,3.35,64.00
670bd53,2026-05-07T13:22:50,Prefill (compressed),1941965,3.60,7.00
670bd53,2026-05-07T13:22:50,DDTree (no chain),340525,2.94,16.00
670bd53,2026-05-07T13:22:50,DDTree (chain-seed),360718,2.77,16.00
670bd53,2026-05-07T13:22:50,forward (flat),1166181,0.86,0.00
670bd53,2026-05-07T13:22:50,forward_paged,968157,1.03,0.00
