commit,date,method,throughput,us_per_step,avg_accept_len
670bd53,2026-05-07T13:22:04,Transformer AR,1198346,0.83,1.00
670bd53,2026-05-07T13:22:04,DFlash,3912330,2.04,8.00
670bd53,2026-05-07T13:22:04,DDTree Build,328971,3.04,0.00
670bd53,2026-05-07T13:22:04,Speculative (Simulated),944750,5.29,5.00
670bd53,2026-05-07T13:22:04,Speculative (AR Draft),1361214,5.14,7.00
670bd53,2026-05-07T13:22:04,Prefill (no compress),19351235,3.31,64.00
670bd53,2026-05-07T13:22:04,Prefill (compressed),1948799,3.59,7.00
670bd53,2026-05-07T13:22:04,DDTree (no chain),320713,3.12,16.00
670bd53,2026-05-07T13:22:04,DDTree (chain-seed),340111,2.94,16.00
670bd53,2026-05-07T13:22:04,forward (flat),1024956,0.98,0.00
670bd53,2026-05-07T13:22:04,forward_paged,973630,1.03,0.00
