commit,date,method,throughput,us_per_step,avg_accept_len
5417640,2026-05-09T21:22:12,Transformer AR,1180915,0.85,1.00
5417640,2026-05-09T21:22:12,DFlash,4126618,1.94,8.00
5417640,2026-05-09T21:22:12,DDTree Build,428330,2.33,0.00
5417640,2026-05-09T21:22:12,Speculative (Simulated),1134602,4.41,5.00
5417640,2026-05-09T21:22:12,Speculative (AR Draft),1603072,4.36,7.00
5417640,2026-05-09T21:22:12,Leviathan (Algorithm 1),112618,10.47,1.18
5417640,2026-05-09T21:22:12,Leviathan (no rollback),113171,10.42,1.18
5417640,2026-05-09T21:22:12,Leviathan (w/ rollback),206964,5.68,1.18
5417640,2026-05-09T21:22:12,Spec (unconditioned),1143155,4.37,5.00
5417640,2026-05-09T21:22:12,Spec (conditioned),1222663,5.52,6.74
5417640,2026-05-09T21:22:12,Prefill (no compress),19240318,3.33,64.00
5417640,2026-05-09T21:22:12,Prefill (compressed),1969485,3.55,7.00
5417640,2026-05-09T21:22:12,DDTree (no chain),419819,2.38,16.00
5417640,2026-05-09T21:22:12,DDTree (chain-seed),440448,2.27,16.00
5417640,2026-05-09T21:22:12,DDTree (screened R=1.0),334444,2.99,16.00
5417640,2026-05-09T21:22:12,DDTree (screened adapter),332878,3.00,16.00
5417640,2026-05-09T21:22:12,forward (flat),1209449,0.83,0.00
5417640,2026-05-09T21:22:12,forward_paged,1005762,0.99,0.00
5417640,2026-05-09T21:22:12,forward_raven (16 slots),1508960,0.66,0.00
5417640,2026-05-09T21:22:12,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),2096071,0.48,63.21
