commit,date,method,throughput,us_per_step,avg_accept_len
5417640,2026-05-09T21:12:31,Transformer AR,1196577,0.84,1.00
5417640,2026-05-09T21:12:31,DFlash,4227922,1.89,8.00
5417640,2026-05-09T21:12:31,DDTree Build,422191,2.37,0.00
5417640,2026-05-09T21:12:31,Speculative (Simulated),1133141,4.41,5.00
5417640,2026-05-09T21:12:31,Speculative (AR Draft),1595443,4.39,7.00
5417640,2026-05-09T21:12:31,Leviathan (Algorithm 1),112712,10.46,1.18
5417640,2026-05-09T21:12:31,Leviathan (no rollback),112065,10.52,1.18
5417640,2026-05-09T21:12:31,Leviathan (w/ rollback),205188,5.73,1.18
5417640,2026-05-09T21:12:31,Spec (unconditioned),1128624,4.43,5.00
5417640,2026-05-09T21:12:31,Spec (conditioned),1207384,5.59,6.74
5417640,2026-05-09T21:12:31,Prefill (no compress),19198651,3.33,64.00
5417640,2026-05-09T21:12:31,Prefill (compressed),1970185,3.55,7.00
5417640,2026-05-09T21:12:31,DDTree (no chain),425442,2.35,16.00
5417640,2026-05-09T21:12:31,DDTree (chain-seed),440855,2.27,16.00
5417640,2026-05-09T21:12:31,DDTree (screened R=1.0),334513,2.99,16.00
5417640,2026-05-09T21:12:31,DDTree (screened adapter),334934,2.99,16.00
5417640,2026-05-09T21:12:31,forward (flat),1178674,0.85,0.00
5417640,2026-05-09T21:12:31,forward_paged,997947,1.00,0.00
5417640,2026-05-09T21:12:31,forward_raven (16 slots),1520371,0.66,0.00
5417640,2026-05-09T21:12:31,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9909133,0.10,63.21
