commit,date,method,throughput,us_per_step,avg_accept_len
0d52e11,2026-05-07T16:01:27,Transformer AR,1153065,0.87,1.00
0d52e11,2026-05-07T16:01:27,DFlash,3854077,2.08,8.00
0d52e11,2026-05-07T16:01:27,DDTree Build,361662,2.77,0.00
0d52e11,2026-05-07T16:01:27,Speculative (Simulated),1008030,4.96,5.00
0d52e11,2026-05-07T16:01:27,Speculative (AR Draft),1458004,4.80,7.00
0d52e11,2026-05-07T16:01:27,Leviathan (Algorithm 1),110259,10.69,1.18
0d52e11,2026-05-07T16:01:27,Leviathan (no rollback),109930,10.72,1.18
0d52e11,2026-05-07T16:01:27,Leviathan (w/ rollback),185353,6.34,1.18
0d52e11,2026-05-07T16:01:27,Spec (unconditioned),1012393,4.94,5.00
0d52e11,2026-05-07T16:01:27,Spec (conditioned),1099772,6.13,6.74
0d52e11,2026-05-07T16:01:27,Prefill (no compress),19190151,3.34,64.00
0d52e11,2026-05-07T16:01:27,Prefill (compressed),1921788,3.64,7.00
0d52e11,2026-05-07T16:01:27,DDTree (no chain),364027,2.75,16.00
0d52e11,2026-05-07T16:01:27,DDTree (chain-seed),377198,2.65,16.00
0d52e11,2026-05-07T16:01:27,forward (flat),1122676,0.89,0.00
0d52e11,2026-05-07T16:01:27,forward_paged,942262,1.06,0.00
