commit,date,method,throughput,us_per_step,avg_accept_len
58211f8,2026-05-07T11:54:44,Transformer AR,1192401,0.84,1.00
58211f8,2026-05-07T11:54:44,DFlash,4069713,1.97,8.00
58211f8,2026-05-07T11:54:44,DDTree Build,355042,2.82,0.00
58211f8,2026-05-07T11:54:44,Speculative (Simulated),1023142,4.89,5.00
58211f8,2026-05-07T11:54:44,Speculative (AR Draft),1433194,4.88,7.00
58211f8,2026-05-07T11:54:44,Leviathan (Algorithm 1),109605,10.76,1.18
58211f8,2026-05-07T11:54:44,Leviathan (no rollback),68319,17.25,1.18
58211f8,2026-05-07T11:54:44,Leviathan (w/ rollback),190752,6.16,1.18
58211f8,2026-05-07T11:54:44,Spec (unconditioned),1027609,4.87,5.00
58211f8,2026-05-07T11:54:44,Spec (conditioned),1098730,6.14,6.74
58211f8,2026-05-07T11:54:44,Prefill (no compress),19003217,3.37,64.00
58211f8,2026-05-07T11:54:44,Prefill (compressed),1943830,3.60,7.00
58211f8,2026-05-07T11:54:44,DDTree (no chain),361717,2.76,16.00
58211f8,2026-05-07T11:54:44,DDTree (chain-seed),381167,2.62,16.00
